Temperature,Vibration,Current,RPM,Operating_Hours,Status
49,2.43,9.34,1335,2432,Failure
75,1.78,7.17,1460,581,Warning
53,5.51,8.35,1479,4366,Failure
70,7.47,3.86,1112,684,Failure
87,4.68,8.6,1309,1819,Failure
54,4.79,9.0,1328,3854,Failure
47,2.6,6.17,1496,2420,Normal
53,6.27,6.94,1199,52,Failure
62,1.9,7.97,1130,255,Failure
79,2.93,4.14,1485,4185,Failure
60,3.69,6.27,1115,2671,Failure
55,4.31,5.59,1236,4789,Failure
84,2.32,3.95,1428,2940,Failure
57,1.36,5.39,1265,3243,Warning
86,5.08,3.44,1409,2716,Failure
92,2.66,3.17,1199,3356,Failure
63,4.86,3.88,1208,947,Failure
65,1.66,9.26,1442,1135,Failure
64,4.11,6.57,1272,1329,Warning
84,4.49,9.28,1336,720,Failure
80,0.89,5.81,1261,1555,Failure
68,3.02,5.03,1492,3625,Warning
54,1.51,6.29,1315,4864,Failure
84,0.98,5.86,1363,2005,Failure
40,7.92,3.69,1362,299,Failure
64,2.92,7.17,1391,1942,Warning
46,6.57,4.4,1373,3489,Failure
48,2.41,7.03,1102,1903,Failure
63,5.61,7.23,1127,2904,Failure
40,6.2,3.99,1425,1553,Failure
83,4.97,3.4,1248,3435,Failure
47,4.04,8.07,1127,3621,Failure
63,3.59,5.99,1409,3842,Warning
50,3.12,3.38,1164,3476,Failure
90,7.47,9.47,1455,93,Failure
56,6.73,3.38,1120,3662,Failure
47,7.74,7.52,1351,2668,Failure
74,1.43,9.39,1334,4728,Failure
74,5.98,4.55,1326,3213,Failure
72,7.54,3.92,1112,1338,Failure
44,1.86,3.79,1412,2992,Warning
81,1.0,4.97,1148,269,Failure
78,6.06,3.66,1217,1975,Failure
80,4.81,7.5,1153,3022,Failure
67,6.81,3.4,1237,3563,Failure
46,1.55,6.31,1152,2498,Failure
48,6.46,9.48,1143,3521,Failure
47,2.01,8.29,1402,2824,Failure
51,1.73,7.0,1152,1040,Failure
73,1.73,4.99,1173,2996,Failure
72,6.61,7.06,1145,1862,Failure
87,5.49,6.43,1112,853,Failure
94,4.42,5.77,1264,539,Failure
62,3.19,3.85,1201,3606,Failure
63,7.08,8.76,1379,1543,Failure
76,3.44,5.92,1357,3695,Warning
74,6.62,4.27,1436,2941,Failure
83,3.79,5.39,1455,1755,Failure
79,3.33,5.69,1497,3566,Warning
61,3.97,8.38,1237,3390,Failure
66,2.76,7.77,1262,103,Warning
74,6.11,8.0,1486,2625,Failure
40,4.27,3.07,1210,3641,Failure
74,2.24,5.71,1201,665,Failure
76,7.25,6.13,1116,1004,Failure
86,3.38,3.12,1367,2483,Failure
53,4.58,4.69,1281,1679,Warning
42,7.3,7.94,1471,2831,Failure
40,5.18,3.89,1123,699,Failure
44,1.38,6.48,1128,2397,Failure
65,7.55,4.4,1270,4540,Failure
94,5.21,3.08,1327,3328,Failure
53,3.01,4.57,1477,2690,Warning
78,1.54,9.34,1287,3851,Failure
66,6.46,8.21,1445,2611,Failure
48,5.15,9.24,1329,3299,Failure
54,4.5,6.17,1420,420,Warning
54,7.2,3.71,1439,907,Failure
65,6.41,6.56,1218,4936,Failure
81,1.64,5.95,1255,4803,Failure
52,2.84,8.49,1371,433,Failure
90,2.36,3.64,1274,3927,Failure
71,6.08,6.17,1203,2602,Failure
78,0.75,3.98,1191,4384,Failure
88,4.77,5.11,1285,4340,Failure
91,6.22,7.79,1382,2775,Failure
71,7.08,6.09,1280,4084,Failure
43,3.07,5.44,1269,3343,Warning
69,6.66,5.56,1286,4301,Failure
76,1.33,5.99,1274,4038,Failure
62,6.85,8.1,1321,972,Failure
78,1.46,8.8,1332,2965,Failure
84,3.48,9.21,1261,3000,Failure
54,6.48,8.11,1233,3096,Failure
82,1.62,5.05,1490,1024,Failure
68,2.22,7.47,1323,1280,Warning
75,5.92,5.84,1252,2485,Failure
52,5.9,4.66,1132,1864,Failure
71,5.31,8.47,1154,2984,Failure
46,5.7,3.25,1106,4983,Failure
90,4.57,8.86,1343,1413,Failure
61,2.39,6.0,1412,3990,Warning
67,3.09,7.14,1225,253,Failure
41,1.86,7.29,1111,210,Failure
81,7.31,8.82,1115,4537,Failure
84,4.88,7.14,1307,818,Failure
92,3.51,6.99,1142,3798,Failure
45,3.97,3.43,1472,2631,Warning
67,7.6,6.37,1234,1143,Failure
67,1.65,3.98,1327,4550,Failure
83,4.9,7.79,1210,657,Failure
83,4.29,6.33,1406,1590,Failure
59,5.09,7.42,1259,2925,Warning
69,0.64,3.27,1430,3241,Warning
50,7.04,3.55,1363,1887,Failure
94,7.49,7.66,1324,739,Failure
67,4.74,3.47,1316,3809,Warning
64,5.72,3.46,1144,2999,Failure
78,7.42,3.08,1313,2153,Failure
72,5.8,9.22,1158,415,Failure
40,1.64,7.79,1231,3625,Failure
66,4.82,5.3,1203,4600,Failure
91,5.05,4.93,1294,4249,Failure
52,3.68,5.27,1256,4222,Failure
80,6.02,8.04,1197,4375,Failure
42,7.51,7.3,1325,2428,Failure
78,7.44,4.2,1304,1255,Failure
45,3.88,4.13,1178,3889,Failure
47,1.35,3.64,1223,2785,Failure
66,7.89,7.29,1317,3397,Failure
48,6.79,7.97,1103,1725,Failure
76,1.43,4.72,1189,348,Failure
72,7.41,3.14,1203,1006,Failure
90,7.02,3.53,1492,1164,Failure
81,4.39,9.29,1218,2555,Failure
83,4.93,4.92,1232,1524,Failure
63,3.49,8.0,1411,4510,Failure
54,0.91,7.06,1195,4496,Failure
93,3.01,5.48,1430,3776,Failure
71,6.52,4.34,1242,3521,Failure
71,0.53,3.79,1387,2878,Warning
63,3.0,7.0,1127,2900,Failure
80,3.49,8.04,1377,2556,Failure
91,4.53,7.19,1332,3820,Failure
88,7.4,6.45,1116,3014,Failure
88,3.1,3.27,1158,4644,Failure
91,3.1,9.3,1189,999,Failure
51,6.03,8.19,1298,4653,Failure
78,3.89,4.9,1461,2900,Warning
41,2.18,9.37,1125,215,Failure
42,3.89,6.91,1124,3536,Failure
88,1.56,6.79,1493,2559,Failure
76,1.82,7.86,1400,969,Warning
88,4.24,8.28,1438,163,Failure
56,3.64,7.27,1366,3554,Warning
88,7.36,3.83,1280,1041,Failure
41,3.22,5.2,1459,3889,Warning
41,4.85,9.03,1167,1308,Failure
67,5.24,4.46,1450,3476,Warning
93,0.6,5.42,1420,564,Failure
62,5.48,5.81,1148,4854,Failure
76,1.84,5.86,1274,3246,Warning
71,7.71,6.98,1151,4484,Failure
72,1.61,9.13,1201,2634,Failure
40,3.61,4.56,1315,117,Warning
58,1.14,3.79,1287,1646,Warning
41,7.98,4.28,1156,4528,Failure
92,4.27,8.77,1146,68,Failure
83,4.97,7.2,1258,2780,Failure
65,1.0,4.86,1273,3571,Warning
71,6.12,8.3,1341,622,Failure
45,2.07,8.6,1381,2308,Failure
71,7.24,8.5,1340,2952,Failure
94,2.04,8.97,1469,700,Failure
43,1.93,4.64,1104,2637,Failure
94,0.77,7.91,1183,3312,Failure
50,4.04,5.99,1407,1388,Warning
56,4.74,8.47,1460,3684,Failure
77,0.99,7.74,1347,2877,Warning
63,6.32,8.05,1153,2267,Failure
44,3.9,7.27,1260,3589,Warning
91,4.43,4.15,1325,1087,Failure
73,3.81,6.54,1114,4433,Failure
45,3.51,9.4,1323,4028,Failure
61,4.7,9.09,1160,3011,Failure
50,1.66,3.28,1221,3276,Failure
87,1.86,4.07,1376,1148,Failure
55,6.96,3.86,1145,2374,Failure
72,7.6,7.72,1489,989,Failure
48,3.3,8.32,1393,3766,Failure
45,2.53,4.39,1161,3464,Failure
55,5.33,6.29,1185,1498,Failure
68,3.57,8.46,1309,620,Failure
42,0.69,7.76,1177,2954,Failure
59,1.67,6.52,1301,2555,Warning
75,5.87,6.84,1401,967,Failure
58,5.44,6.3,1496,1924,Warning
65,0.7,4.93,1322,4978,Failure
42,2.16,6.67,1321,1728,Warning
58,2.23,7.48,1102,665,Failure
59,5.54,8.68,1105,4551,Failure
71,0.65,7.14,1192,1799,Failure
46,1.28,7.95,1107,3875,Failure
91,6.5,4.04,1334,4238,Failure
80,1.84,6.0,1207,2527,Failure
72,5.4,3.06,1260,4799,Failure
79,2.29,4.6,1308,3555,Warning
78,1.25,7.72,1339,3525,Warning
57,2.32,9.45,1430,4579,Failure
79,5.92,3.64,1432,1185,Failure
40,6.92,5.61,1149,4050,Failure
50,6.73,8.2,1110,424,Failure
67,3.48,4.33,1450,256,Warning
64,5.51,6.61,1255,4925,Failure
89,2.04,7.76,1169,1369,Failure
62,2.7,7.0,1268,1191,Warning
70,7.22,4.22,1371,4677,Failure
69,0.6,5.31,1167,2740,Failure
81,1.14,8.09,1454,3305,Failure
74,2.06,6.6,1351,139,Warning
46,0.7,3.03,1147,4158,Failure
55,1.86,7.95,1283,3070,Warning
65,4.87,3.23,1419,1907,Warning
87,3.66,7.85,1286,854,Failure
91,7.2,4.32,1189,994,Failure
88,6.63,9.23,1431,2839,Failure
41,3.06,5.39,1238,3925,Failure
40,2.45,5.13,1456,1660,Normal
87,3.35,3.97,1188,2973,Failure
51,4.93,4.99,1373,3932,Warning
44,2.51,8.7,1118,3271,Failure
76,5.18,9.48,1410,4441,Failure
71,3.57,5.39,1457,4785,Failure
94,4.64,5.92,1473,2437,Failure
48,3.77,7.69,1253,4773,Failure
80,2.71,8.76,1489,991,Failure
74,7.61,6.85,1359,4975,Failure
58,6.23,5.54,1207,2616,Failure
87,1.55,5.68,1470,1025,Failure
55,7.01,7.52,1384,1004,Failure
42,4.16,3.02,1158,1312,Failure
59,7.21,7.03,1224,993,Failure
63,6.5,5.31,1453,2252,Failure
93,3.69,8.16,1372,3377,Failure
72,0.67,3.6,1206,4324,Failure
63,2.52,6.82,1398,2309,Warning
91,4.56,6.13,1344,1878,Failure
50,5.25,7.18,1435,1307,Warning
88,2.43,3.42,1346,514,Failure
47,1.55,6.77,1107,3344,Failure
75,6.76,6.65,1240,1280,Failure
77,7.88,6.64,1461,2704,Failure
79,4.44,6.92,1107,934,Failure
59,1.79,7.4,1451,3855,Warning
74,2.54,8.23,1193,3906,Failure
87,0.64,4.75,1420,3185,Failure
64,7.36,8.36,1138,974,Failure
74,1.38,6.24,1180,4639,Failure
64,4.82,3.5,1286,1596,Warning
68,2.56,3.38,1183,1144,Failure
57,4.66,5.17,1187,2461,Failure
85,5.39,8.1,1341,2667,Failure
57,6.72,7.6,1441,812,Failure
41,2.05,8.13,1192,2373,Failure
93,0.58,6.36,1185,4195,Failure
74,1.53,5.86,1143,2825,Failure
55,7.25,3.96,1236,4709,Failure
80,7.05,5.13,1173,4928,Failure
75,4.98,5.82,1135,3205,Failure
72,5.0,3.58,1200,4020,Failure
43,5.49,4.43,1255,2090,Warning
72,1.82,6.89,1354,633,Warning
53,7.36,7.78,1270,4381,Failure
60,3.64,9.49,1315,2153,Failure
87,3.37,9.07,1269,1992,Failure
59,4.39,7.18,1351,4505,Failure
47,0.85,5.74,1459,159,Normal
46,1.75,7.14,1421,241,Warning
42,6.04,8.11,1154,953,Failure
56,1.12,3.77,1190,911,Failure
72,5.02,5.66,1377,1133,Warning
87,2.34,8.46,1200,699,Failure
51,3.42,5.49,1254,4184,Failure
90,2.67,6.72,1476,3661,Failure
61,3.17,6.82,1448,686,Warning
94,5.89,4.2,1463,1086,Failure
61,2.73,5.35,1240,4181,Failure
85,4.75,5.17,1272,2198,Failure
69,4.07,3.17,1109,3915,Failure
77,5.48,3.16,1327,3207,Warning
77,7.53,8.41,1364,3637,Failure
84,5.99,4.77,1347,3344,Failure
90,2.11,6.37,1346,4311,Failure
93,0.73,4.94,1254,2480,Failure
47,2.47,9.11,1133,1929,Failure
66,4.96,4.69,1228,4016,Failure
66,0.89,5.79,1259,3763,Warning
73,4.22,8.67,1188,4176,Failure
60,4.98,8.47,1192,4156,Failure
69,3.01,4.21,1426,2061,Warning
72,6.28,8.22,1340,3423,Failure
67,1.3,5.98,1422,2193,Warning
86,1.06,6.14,1216,2550,Failure
72,5.96,3.87,1193,4631,Failure
44,4.22,3.52,1262,1339,Warning
87,5.66,7.73,1198,1497,Failure
58,3.76,6.23,1212,3249,Failure
43,2.35,5.84,1458,1993,Normal
74,6.64,7.74,1190,3233,Failure
88,6.5,7.98,1445,3266,Failure
56,5.71,4.03,1305,3186,Failure
83,2.54,6.97,1116,3368,Failure
67,4.93,3.88,1373,2832,Warning
69,3.21,7.88,1272,1040,Warning
68,1.19,7.27,1215,4970,Failure
85,7.38,9.22,1448,2203,Failure
92,1.53,3.45,1280,275,Failure
45,7.63,3.37,1190,826,Failure
74,3.85,4.83,1181,2887,Failure
80,1.89,4.7,1423,737,Failure
76,4.56,4.61,1213,579,Failure
63,7.05,8.89,1356,3492,Failure
68,5.99,4.62,1157,2203,Failure
88,6.55,4.77,1253,1344,Failure
85,5.44,7.94,1464,1576,Failure
92,5.69,5.92,1215,4824,Failure
70,6.87,8.05,1442,2946,Failure
74,2.37,3.42,1365,3153,Warning
72,4.17,6.17,1414,2490,Warning
91,2.16,3.22,1302,4185,Failure
60,7.91,3.41,1140,3852,Failure
71,7.58,8.89,1204,894,Failure
62,0.8,3.91,1488,496,Normal
72,5.79,6.46,1477,3965,Failure
42,7.44,5.67,1292,3159,Failure
57,1.85,5.26,1500,1284,Normal
64,4.76,8.85,1377,276,Failure
81,7.37,3.14,1453,4193,Failure
70,0.75,7.31,1336,3009,Warning
93,5.73,9.26,1320,1880,Failure
42,2.73,6.64,1167,3829,Failure
79,7.43,9.09,1296,236,Failure
85,7.78,3.34,1355,2927,Failure
63,7.58,5.72,1238,2585,Failure
89,4.06,4.69,1411,1982,Failure
71,6.97,7.75,1248,2974,Failure
86,6.83,9.38,1198,898,Failure
61,2.89,4.67,1175,2082,Failure
62,6.72,7.25,1381,1302,Failure
41,0.78,4.29,1470,1931,Normal
66,4.97,6.67,1208,319,Failure
81,2.23,6.02,1287,1680,Failure
41,1.4,9.32,1298,4455,Failure
65,1.08,6.96,1402,3253,Warning
56,5.72,5.27,1426,1624,Failure
79,3.05,3.74,1253,2942,Warning
72,5.94,3.98,1139,1745,Failure
48,0.99,4.46,1232,3308,Failure
82,2.86,4.63,1231,3312,Failure
93,4.55,8.53,1378,1495,Failure
87,6.43,6.65,1461,269,Failure
78,2.89,6.4,1183,102,Failure
68,5.19,3.75,1498,1807,Warning
81,7.14,8.59,1341,1716,Failure
94,5.12,7.7,1215,2835,Failure
65,2.25,3.44,1208,769,Failure
74,0.68,7.6,1320,455,Warning
89,7.03,6.53,1491,2344,Failure
64,0.66,3.53,1140,121,Failure
63,7.06,5.98,1467,2103,Failure
52,4.47,6.15,1246,1279,Failure
46,7.54,4.08,1211,1617,Failure
75,6.49,9.15,1202,3732,Failure
84,7.98,8.52,1145,3003,Failure
59,3.13,7.35,1423,4532,Failure
40,6.25,6.0,1477,748,Failure
47,3.51,5.68,1370,876,Warning
85,4.1,7.23,1484,398,Failure
55,5.21,6.55,1294,3958,Warning
53,7.05,3.4,1466,357,Failure
51,7.88,6.33,1379,3466,Failure
90,6.26,8.24,1382,2384,Failure
62,3.63,5.99,1139,4911,Failure
54,3.66,3.34,1288,4870,Failure
67,6.03,8.11,1263,2859,Failure
73,2.29,4.31,1123,3608,Failure
41,1.33,4.68,1123,4528,Failure
71,3.16,4.07,1103,3527,Failure
62,2.65,5.15,1422,4670,Failure
61,2.72,7.92,1389,2736,Warning
90,2.25,6.38,1280,3035,Failure
64,0.82,4.33,1347,325,Warning
61,0.63,8.71,1215,2597,Failure
61,7.91,8.72,1378,2814,Failure
88,3.71,8.66,1464,386,Failure
91,3.38,4.55,1168,2023,Failure
81,5.6,5.93,1450,3029,Failure
45,2.14,9.4,1353,4626,Failure
54,7.62,8.02,1280,4018,Failure
93,6.4,3.18,1417,960,Failure
82,1.17,3.42,1268,2046,Failure
76,3.63,6.02,1412,3179,Warning
72,7.09,8.91,1348,4254,Failure
47,7.59,6.5,1287,3807,Failure
92,4.01,6.24,1153,377,Failure
83,5.1,3.69,1425,1849,Failure
83,1.75,7.27,1456,364,Failure
44,7.93,8.34,1412,3595,Failure
78,2.24,5.47,1237,1184,Failure
43,7.57,8.04,1267,2796,Failure
45,5.37,9.27,1490,4926,Failure
84,5.06,4.32,1202,1570,Failure
71,4.35,6.4,1184,205,Failure
91,2.23,4.87,1416,1774,Failure
69,1.82,8.15,1311,3393,Failure
86,2.15,6.75,1102,936,Failure
74,1.9,7.12,1483,3123,Warning
94,6.35,8.19,1278,2855,Failure
79,3.13,5.57,1441,771,Warning
91,0.93,8.95,1402,962,Failure
55,7.77,6.46,1431,3407,Failure
52,7.13,4.03,1137,920,Failure
89,7.46,7.52,1338,4158,Failure
81,7.96,8.16,1268,547,Failure
69,1.8,5.06,1496,1806,Warning
58,3.47,8.57,1442,1167,Failure
56,6.19,8.89,1413,3459,Failure
58,5.72,4.8,1405,2878,Failure
67,1.65,9.39,1129,1697,Failure
94,6.62,3.91,1289,3033,Failure
65,2.18,4.31,1456,192,Warning
76,2.18,4.2,1124,2811,Failure
65,4.53,8.81,1211,3485,Failure
92,4.95,7.25,1305,4710,Failure
62,4.85,3.99,1284,2481,Warning
48,1.19,5.86,1481,4562,Failure
51,7.08,7.0,1478,1898,Failure
92,2.49,3.54,1146,2746,Failure
40,1.47,8.74,1473,1767,Failure
40,7.17,8.22,1327,3122,Failure
86,7.67,6.28,1138,1117,Failure
73,6.97,9.29,1115,2836,Failure
71,6.57,5.72,1121,3841,Failure
93,5.41,9.4,1312,1338,Failure
87,4.63,7.34,1409,3921,Failure
64,1.15,7.13,1248,1856,Failure
79,3.56,4.08,1340,1554,Warning
84,3.3,8.73,1371,3358,Failure
92,2.45,5.78,1158,3001,Failure
40,5.93,4.05,1386,121,Failure
55,4.22,3.08,1301,1740,Warning
78,1.11,6.64,1131,1394,Failure
44,2.15,6.43,1261,3353,Warning
61,5.62,7.68,1354,3163,Failure
68,1.07,8.79,1353,932,Failure
94,6.88,3.52,1108,4284,Failure
42,4.21,7.75,1238,2712,Failure
51,4.1,4.22,1109,1554,Failure
65,4.94,8.58,1313,2513,Failure
55,6.69,8.32,1372,2603,Failure
90,3.11,6.52,1423,782,Failure
76,5.59,7.62,1147,1798,Failure
61,4.74,5.04,1210,3974,Failure
68,2.5,6.06,1252,473,Warning
53,7.09,8.34,1222,3528,Failure
67,6.48,5.99,1456,1641,Failure
44,5.44,5.33,1201,4535,Failure
86,6.88,6.21,1340,4487,Failure
88,7.0,8.38,1420,4759,Failure
69,5.81,5.18,1290,542,Failure
85,6.78,4.13,1316,241,Failure
91,5.73,7.63,1150,548,Failure
44,5.6,8.37,1391,4967,Failure
51,5.14,3.65,1180,1306,Failure
55,6.15,4.56,1482,2018,Failure
65,1.69,3.92,1187,4372,Failure
65,7.11,5.26,1293,2236,Failure
87,7.04,5.93,1203,866,Failure
60,0.72,7.87,1370,3270,Warning
78,6.69,7.23,1195,1523,Failure
75,1.47,7.04,1478,1136,Warning
72,3.01,5.29,1297,4249,Failure
69,6.08,8.47,1100,1924,Failure
76,1.71,6.06,1477,920,Warning
62,6.63,9.36,1266,4813,Failure
49,6.74,7.12,1225,2092,Failure
93,4.31,3.82,1412,322,Failure
44,0.55,7.4,1180,1079,Failure
75,2.65,5.11,1350,3268,Warning
73,5.13,7.46,1268,4119,Failure
91,7.86,3.45,1172,1101,Failure
70,5.24,4.14,1240,4083,Failure
49,2.45,8.56,1169,1623,Failure
58,5.26,4.48,1361,3240,Warning
71,4.55,8.44,1439,4438,Failure
40,6.35,4.82,1407,3847,Failure
44,1.3,7.18,1344,3339,Warning
84,6.21,7.51,1102,3797,Failure
43,4.56,6.33,1436,2155,Warning
55,7.72,4.98,1162,357,Failure
63,3.06,4.38,1148,3409,Failure
55,5.24,3.22,1175,3226,Failure
94,7.49,4.98,1467,1301,Failure
41,1.27,7.25,1274,2797,Warning
88,7.53,9.1,1208,1567,Failure
67,5.66,8.66,1282,1428,Failure
71,1.01,7.98,1291,4941,Failure
66,2.76,8.12,1164,2011,Failure
59,5.81,7.32,1436,4355,Failure
63,1.01,4.69,1370,2913,Warning
51,4.87,8.9,1199,2706,Failure
89,3.09,7.36,1131,2544,Failure
74,5.16,6.64,1451,4617,Failure
72,0.84,3.72,1227,4055,Failure
72,7.04,5.91,1468,3613,Failure
90,7.8,5.99,1438,972,Failure
82,7.77,8.62,1142,4282,Failure
76,6.12,6.55,1471,4512,Failure
51,1.48,5.47,1177,3009,Failure
42,6.19,9.35,1413,233,Failure
40,0.68,3.72,1388,3408,Warning
72,0.67,5.75,1369,1448,Warning
79,2.93,3.27,1261,2846,Warning
49,4.16,7.81,1288,586,Warning
82,6.28,8.97,1346,1323,Failure
83,5.62,4.82,1487,3017,Failure
68,3.84,8.58,1315,3099,Failure
52,2.55,4.9,1414,1146,Normal
51,7.98,8.92,1438,1355,Failure
70,3.7,7.9,1489,965,Warning
85,3.89,8.23,1476,3131,Failure
41,1.73,3.12,1267,4297,Failure
90,6.46,9.26,1438,1078,Failure
89,5.7,7.72,1292,2027,Failure
74,2.16,4.98,1382,3404,Warning
62,1.12,8.39,1435,2561,Failure
56,5.6,4.83,1489,320,Failure
65,5.41,8.67,1112,1236,Failure
47,2.55,3.73,1339,4605,Failure
68,7.63,7.57,1419,4250,Failure
65,1.63,6.51,1246,3814,Failure
49,3.74,3.63,1303,2448,Warning
65,7.58,4.57,1179,4579,Failure
73,3.65,3.08,1478,4285,Failure
90,5.29,6.05,1142,4232,Failure
80,3.48,4.96,1188,1761,Failure
46,2.56,6.89,1247,2280,Failure
43,7.88,4.93,1194,178,Failure
92,3.57,4.95,1250,1319,Failure
89,7.21,7.83,1101,3722,Failure
84,2.22,3.31,1475,1651,Failure
50,2.1,8.87,1121,4815,Failure
68,0.73,8.54,1470,4020,Failure
75,5.39,7.34,1412,4294,Failure
64,3.26,6.86,1427,4997,Failure
60,6.98,8.8,1106,677,Failure
75,4.05,4.2,1305,3847,Warning
49,7.76,3.51,1474,2094,Failure
76,1.89,4.56,1213,3602,Failure
48,7.01,8.16,1371,2391,Failure
63,6.32,3.23,1182,3264,Failure
74,6.28,6.79,1278,299,Failure
88,6.84,9.47,1309,2975,Failure
74,6.21,8.56,1427,1024,Failure
87,5.2,6.39,1223,1375,Failure
75,1.48,3.41,1212,1033,Failure
57,0.74,8.4,1111,938,Failure
88,7.41,6.89,1225,2987,Failure
78,5.12,3.75,1152,2167,Failure
71,6.47,3.61,1430,2722,Failure
63,4.11,8.91,1488,1376,Failure
62,1.38,7.35,1382,520,Warning
71,1.44,8.39,1239,2037,Failure
76,5.64,8.71,1500,140,Failure
51,3.73,6.72,1489,579,Warning
88,2.0,6.36,1196,4806,Failure
94,4.19,5.8,1104,4109,Failure
52,0.98,5.06,1156,4884,Failure
62,4.86,5.82,1433,2823,Warning
64,2.52,8.03,1168,1736,Failure
74,6.48,6.91,1217,241,Failure
80,2.83,8.8,1475,2036,Failure
69,3.91,5.88,1158,3673,Failure
56,0.59,6.95,1132,2235,Failure
88,1.04,7.1,1417,4490,Failure
59,3.44,6.85,1149,1058,Failure
87,4.1,7.57,1467,3833,Failure
64,5.0,4.54,1118,4348,Failure
61,2.69,6.33,1313,4718,Failure
52,5.71,3.68,1296,4337,Failure
58,6.95,5.5,1478,2102,Failure
88,6.35,6.17,1146,3358,Failure
75,0.8,7.24,1266,1766,Warning
51,4.1,9.18,1388,360,Failure
80,1.29,6.9,1240,4588,Failure
58,2.32,7.83,1183,1310,Failure
51,7.9,6.29,1281,3982,Failure
48,1.57,7.12,1490,3318,Warning
46,4.24,3.46,1178,634,Failure
67,5.14,4.65,1314,2849,Warning
53,5.77,5.35,1113,409,Failure
70,4.7,6.07,1314,2916,Warning
91,0.57,3.3,1227,2061,Failure
58,2.95,3.91,1409,4989,Failure
86,4.38,4.8,1347,4056,Failure
55,1.16,9.31,1128,1675,Failure
92,3.13,5.15,1379,2814,Failure
44,0.75,6.13,1437,940,Normal
74,1.09,4.27,1418,781,Warning
51,3.48,6.97,1301,4011,Failure
64,1.5,4.82,1460,4751,Failure
91,4.76,4.35,1156,2554,Failure
60,5.67,6.36,1491,664,Failure
75,6.5,3.04,1317,3856,Failure
92,2.0,3.05,1161,1769,Failure
62,1.76,4.42,1256,4819,Failure
55,1.28,3.24,1301,1637,Warning
78,5.27,3.7,1116,1661,Failure
84,5.8,5.2,1421,946,Failure
92,0.74,8.22,1105,327,Failure
